location,date,learn_more,learn_more_source,main_source
Syracuse,"June 11 to June 17, 2023","From June 11 to June 17, 2023, the National Science Foundation will sponsor the Summer Institute in Computational Social Science, to be held at Syracuse University. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science and the humanities. The Summer Institute is for social scientists (broadly conceived), data scientists (broadly conceived), and humanists (broadly conveived) alike.

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include investigating issues of race, gender, or systemic social and economic inequality through computational approaches such as data justice, ethics, textual analysis, and machine learning. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Graduate students (Masters and PhDs) and early career scholars from many different racial/ethnic, cultural, and religious backgrounds with various levels of skills in computational social science are encouraged to apply. SICSS-Syracuse aims to empower prospective participants who are traditionally underrepresented in the field of computational social science, including women and members of other minoritized communities, including different racial/ethnic groups, Indigenous individuals, immigrants, queer persons, and people with disabilities. About 10 participants will be invited, and participants are expected to fully attend and participate in the entire one-week program.

Application materials are due March 3rd, 2023.",https://sicss.io/2023/syracuse,https://sicss.io/locations
Tokyo,"July 31 to August 4, 2023","2023年7月31日から8月4日にかけて、Summer Institute in Computational Social Science のサテライト・ワークショップSICSS-Tokyoを、オンライン上で行います。SICSS-Tokyoでは、主に日本にいる若手研究者が計算社会科学（Computational Social Science）の方法論を体系的に学び、情報共有、研究活動を始める場を提供します。この夏期ワークショップは、（広義の）社会科学および（広義の）データ・サイエンスを対象とします。

SICSS-Tokyoでは、英語と日本語の両方で、講義およびグループワークを行います。本イベントはすべてオンライン上で行われます。講義では、デジタルデータの分析、オンラインアンケート、デジタル環境での社会実験、計算社会科学における倫理問題などを扱います。他のSICSS会場とも連携し、主催者や参加者同士で各自の研究アイデアを議論する機会を多々設ける予定です。また、SICSS-Tokyoで作られたすべての資料は、オープンソースになる予定です。

このワークショップは、修士課程および博士課程の学生、ポスドク、勤務10年以内の企業研究者、博士取得後5年以内の大学教員の方を対象とします。約15人ほどの参加者をご招待する予定です。参加される方は、5日間のプログラム全てに参加していただきたいと思います。参加費用は無料です。文理問わず、あらゆる分野からの応募をお待ちしております。

ただいま参加者の二次募集を行っています。応募に興味のある方はApplyボタンをクリックしてください。応募の締め切りは、2023年6月16日（金）です。

ご質問はこちらまで。sicsstokyo@gmail.com

From July 31 to August 4 2023, We will virtually hold the Summer Institute in Computational Social Science at Tokyo (SICSS-Tokyo). The purpose of SICSS-Tokyo is to bring together master students, graduate students, postdoctoral researchers, beginning faculty, and corporate researchers interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures and group problem sets in both English and Japanese. All events will take place online. Topics covered include analyzing digital trace data, online surveys, digital experiments, and ethics. Participants will have ample opportunities to discuss their ideas and research with the organizers and other participants in collaboration with the other SICSS sites. Because we are committed to open and reproducible research, all materials created by faculty and students for SICSS-Tokyo will be released open-source.

Participation is restricted to master students, Ph.D. students, postdoctoral researchers, corporate researchers who have worked for ten years or less, and untenured faculty within five years of their Ph.D. We will invite about 15 participants and expect them to fully attend and participate in the entire program. There is no cost for participating in the Summer Institute. We welcome applicants from all backgrounds and fields of study.

Now the second recruitment is open! Application materials are due Friday, June 16, 2023.

Inquiries can be sent to sicsstokyo@gmail.com.",https://sicss.io/2023/tokyo,https://sicss.io/locations
UCLA,"June 19 to June 30, 2023","From June 19 to June 30, 2023, the University of California, Los Angeles (UCLA) Division of Social Sciences and the California Center for Population Research will sponsor the Summer Institute in Computational Social Science, to be held at the University of California Los Angeles. The purpose of the Summer Institute is to bring together advanced Ph.D. students, postdoctoral researchers, and faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects, with a special emphasis on causal inference. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include causal inference with observational data, text analysis, network analysis, survey experiments, and machine learning. There will be ample opportunities for participants to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and participants for the Summer Institute will be released open source.

Participation is restricted to advanced Ph.D. students, postdoctoral researchers, and junior faculty (within 7 years of their Ph.D). We welcome applicants from all backgrounds and fields of study, especially junior faculty from neighboring institutions near Los Angeles. About 25-30 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due April 7, 2023.",https://sicss.io/2023/ucla,https://sicss.io/locations
AMU/Law,"June 20 to July 1, 2022","From June 20 to July 1, 2022, the Faculty of Law and Administration together with the Faculty of Mathematics and Computer Science of Adam Mickiewicz University will sponsor the Summer Institute in Computational Social Science, to be held completely virtually. The purpose of the Summer Institute is to bring together young scholars interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. A site-specific focus at this partner institute will be legal science. Topics covered include (but are not limited to):

Application of statistics and R-programming in law;
  Predictive analytics, e.g. judgements prediction, risk assessment;
  Social media as research tools for social sciences;
  A survey in legal research;
  Text as data, including but not limited to legal texts.
There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to MA students, graduate students (master and doctoral programs), postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About twenty participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due 1 May 2022 (midnight, GMT+1).",https://sicss.io/2022/amu-law,https://sicss.io/locations
Aachen-Graz,"July 18 to July 30, 2022","From July 18 to July 30, 2022, TU Graz and RWTH Aachen will organize the Summer Institute in Computational Social Science, to be held virtually. The purpose of the Summer Institute is to bring together graduate student interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and computer scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, and machine learning. We will also discuss methodological and ethical limitation of computational approaches to social science questions.  There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to 40. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 40 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due April 30, 2022.",https://sicss.io/2022/aachen-graz,https://sicss.io/locations
Atlanta,"June 20 to June 30, 2022","From June 20 to June 30, 2022, the Andrew Young School of Policy Studies will sponsor the Summer Institute in Computational Social Science, to be held at Georgia State University. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

We invite applications from graduate students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. SICSS-Atlanta is committed to diversity and inclusion in computational social science, and we welcome applicants from groups currently underrepresented in computational social science. About 20-25 participants will be invited. Participants will be expected to participate in all two weeks of the institute.

Participants with less experience in social science research will be expected to complete additional readings in advance of the Institute, and participants with less experience coding will be expected to complete a set of online learning modules on R or Python programming languages. Students doing this preparatory work will be supported by a teaching assistant who will hold online office hours before the Institute.

Application materials are due March 30, 2022.

To subscribe to updates and application due date reminders, please complete the SICSS-Atlanta Information Request form.",https://sicss.io/2022/atlanta,https://sicss.io/locations
Bologna,6 to 16 June 2022,"From June 6th to the 16th, 2022, the Department of Social and Political Sciences at the University of Bologna will sponsor the Summer Institute in Computational Social Science, to be held at the University of Bologna. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source. The first week will be online while the second will be held in person in Bologna, Italy.

Participation is restricted to Ph.D. students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About twelve (12) participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

NB: The first week will be hosted online. The second week will be in person at the University of Bologna. Participants are expected to travel to Bologna to attend the second week. A greenpass or equivalent is required. Each participant will receive a reimbursement for documented expenses (hotel + travel) up to 500 euros.

Application materials are due 25 April 2022 (midnight, GMT+1).",https://sicss.io/2022/bologna,https://sicss.io/locations
Covenant,"June 19 to June 29, 2022","The Russell Sage Foundation will sponsor the Summer Institute in Computational Social Science, to be held at Covenant University, Ogun State, Nigeria, from June 19 to June 29, 2022. The Summer Institute will bring together postgraduate students, early-career academics and researchers, as well as junior officers in statistical offices, government ministries, and agencies. The Summer Institute is for computationally minded social scientists and data scientists (broadly conceived).

This partner site is led by Emmanuel Olamijuwon, Fidelia Dake, Evans Osabuohien, and Obindah Gershon. SICSS-Covenant is unique among partner locations in its focus on sustainable development goals. Throughout the duration of the Institute, we will explore how computational methods applied to digital data or traditional data sources can help us to better measure the progress of  African countries towards sustainable development goals. In addition, our host- Covenant University, is a growing, dynamic vision-driven University with a compelling vision of raising a new generation of leaders for the African continent. Covenant University has had a rapid rise in nearly two decades of its existence. The university is ranked in the Top 1% of several rankings of higher education. Covenant University is also among the top 10 young universities in Africa in the THE World University Rankings.

The instructional program for the Institute will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, non-probability sampling, mass collaboration, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, teaching assistants, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open-source.

Registration for the workshop is free. There is also a limited number of financial assistance to cover participants travel expenses, meals, and accommodation during the Institute. Participation is open to master’s and PhD students, postdoctoral researchers, untenured faculty within five years of their PhD. We welcome applicants from all backgrounds, fields of study, and countries within Africa, especially applicants from groups currently under-represented in computational social science. About 20 participants will be invited, and participants are expected to fully attend, participate, and engage in the entire program. Participants with less experience with social science research will be expected to complete additional readings in advance of the Institute. We have received generous support from DataCamp to access over 360 interactive courses through DataCamp for the Classroom. Participants with less coding experience will be supported by teaching assistants to complete a set of courses on the R programming language using this platform before the Institute.

Application materials were due on March 18 March 30, 2022. All accepted applicants have been notified by email. Inquiries may be sent to cepder.sicss@covenantuniversity.edu.ng",https://sicss.io/2022/covenant-university,https://sicss.io/locations
Delhi,"June 13 to June 17, 2022","From Monday, June 13  to Friday, June 17, 2022, SICSS Core will sponsor the Summer Institute in Computational Social Science, to be co-hosted by Centre for Social and Behaviour Change (CSBC), Ashoka University and CSIR-Central Scientific Instruments Organisation. Due to uncertainities surrounding COVID-19 pandemic, SICSS Delhi will be held in a virtual mode. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived). There is no cost to participate in SICSS-Delhi.

The instructional program will involve lectures and hands-on tutorials by faculties. There will also be invited speakers from reputated national as well as international organsations who conduct computational social science research in a variety of settings, such as academia, industry, and government. Some of the topics to be covered includes digital data, natural language processing, machine learning, crowdsourcing and ethics. The overall theme of the program will be both computational as well as experimental research. Moreover, we will also be focussing on the policy practices employed for social or economic justice. The program will aslo provide an opportunity for participants to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to undergraduate students, master students, doctoral students, postdoctoral researchers, young industry professionals and early career faculty (within 7 years of PhD) from both industry and academia.However, there are no restrictions based on citizenship, country of study, or country of employment. About 25 participants will be invited, and participants are expected to fully attend and participate in the entire week-long program.

Application materials are due 4th April, 2022.",https://sicss.io/2022/delhi,https://sicss.io/locations
Duke University,"June 19 to June 29, 2022","From June 19 to June 29, 2022, the Russell Sage Foundation will sponsor the Summer Institute in Computational Social Science, to be held at Duke University. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to Ph.D. students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 20 participants will be invited, and participants are expected to fully attend and participate in the entire program.

Application materials are due Monday, February 28, 2022, at 11:59 EST.",https://sicss.io/2022/duke,https://sicss.io/locations
Edinburgh,"June 13 to June 24, 2022","From June 13 to June 24, 2022, the School of Social and Political Sciences, the School of Informatics, and the Research Training Centre will sponsor the Summer Institute in Computational Social Science, to be held in person at the University of Edinburgh. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and early career researchers interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived). This partner site is being led by Christopher Barrie, Karen Gregory, Tod Van Gunten, Walid Magdy, and Björn Ross.

The provisional instructional program includes lectures and workshops on the following topics:

Reproducible workflows, data carpentry;
  APIs, Web scraping, digital research methods;
  Networks and network analysis;
  Social networks and simulations;
  Computational text analysis and natural language processing;
  Machine learning and prediction
There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. The program will also emphasize how qualitative techniques can complement quantitative research, and vice versa. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. The second week is devoted to group projects during which participants will be able to work in small teams to produce a piece of computational research. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to postgraduate research, doctoral, post-doctoral, and early-career researchers (PhD +7). We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. From 20-25 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due April 11, 2022.",https://sicss.io/2022/edinburgh,https://sicss.io/locations
FGV/DAPP Brazil,"June 19 to June 29, 2022","From June 19 to June 29, 2022, the SICSS core sponsors and Department of Public Policy Analysis of Getulio Vargas Foundation (FGV-DAPP) will sponsor the Summer Institute in Computational Social Science, to be held as a virtual event. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to graduate students (master and doctoral programs), postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. master students, and computational social scientists working on NGOs and industry. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 20 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.

Application materials are due Friday, April 1, 2022.",https://sicss.io/2022/fgv-dapp-brazil,https://sicss.io/locations
Haifa,"July 3 to July 14, 2022","From July 3 to July 14, 2022, the University of Haifa will sponsor the Summer Institute in Computational Social Science. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings. Topics covered include data preparation and pre-processing using Python, text as data, website scraping, digital field experiments, machine learning using Orange, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Applications from PhD candidates and postdoctoral researchers will be given priority but applications from faculty members will also be considered. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. Up to 25 participants will be invited to participate with tuition and dining covered by the organizers. Selected participants are requested to commit to the full duration of the entire two-week program or otherwise relinquish their spot to other candidates.

Application materials are due May 1st.",https://sicss.io/2022/haifa,https://sicss.io/locations
Helsinki,"June 20 to July 1, 2022","From June 20 to July 1, 2022, Faculty of Social Science will sponsor the Summer Institute in Computational Social Science, to be held at the University of Helsinki. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and early career scholars interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

At Helsinki we are especially working on topics such as
political communication
  media & politics
  digital democracy
  interactive prototype development
  validity and reliability in computational social science
The instructional program will involve lectures, individual and group-based activities and participant-led research projects.
There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government.

We focus on four broad families of computational social science
data science
  network analysis
  simulations and complex systems
  interactive systems
In addition, we discuss crosscutting themes such as
asking research questions through computational means
  data collection and management
  ethics
  validity and reliability
  research projects in computational social science era
The instructional program will include one month long pre-SICSS activity to ensure all participants have sufficient skills in programming and key concepts of social sciences.

There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty for the Summer Institute will be released open source.

We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science.
About 20 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program.
Due to the fluctuating COVID situation and potential changes in travel policies, we have chosen to keep SICSS Helsinki online this year.
We do our best to accommodate for various timezones during the two-week period.
We have also developed various mechanism to support engagement and peer-interaction to make online activities as social and community building as possible.

Application materials are due Wednesday March 30th.",https://sicss.io/2022/helsinki,https://sicss.io/locations
Hong Kong,"June 20 to June 30, 2022","From June 20 to June 30, 2022, the second Summer Institute in Computational Social Science at Hong Kong will be hosted and sponsored by the Computational Social Science Laboratory (CSSL) and the Centre for Population Research of the Department of Sociology at the Chinese University of Hong Kong. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Methodological topics covered include text as data, web scraping, digital field experiments, machine learning, and ethics. Site-specific substantive topics include (but are not limited to) political polarization, misinformation, collective action, social networks, and diffusion. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source. Please note that the focus of the program is more on bringing young scholars together and developing collaborative research projects using tools and methods in computational social science than on teaching programming techniques.

Participation is restricted to graduate students, postdoctoral researchers, and junior faculty. Advanced undergraduate students will also be considered. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. The SICSS at Hong Kong will be organized on a small-group basis to ensure the quality of learning and networking. Prior experience with computational methods is a plus but not required. The event’s working language is English, therefore proficiency in English will be needed. Participants are expected to fully attend and participate in the entire two-week program.

Application materials are due April 15. Inquiries can be sent to sicss.hongkong@gmail.com",https://sicss.io/2022/hong-kong,https://sicss.io/locations
Howard/Mathematica,"June 18 to July 1, 2022","From June 18 to July 1, 2022, Howard University and Mathematica sponsored the Summer Institute in Computational Social Science, virtually at Howard University. The purpose of the Summer Institute was to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute was for both social scientists (broadly conceived) and data scientists (broadly conceived). There was no cost to participate in SICSS-Howard/Mathematica.

The instructional program involved lectures, group problem sets, and participant-led research projects. There were also outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There were ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute were released open source.

Participation was restricted to Ph.D. students, postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. We welcomed applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About thirty participants were invited, and participants were expected to fully attend and participate in the entire program.

SICSS-Howard/Mathematica was once again groundbreaking for a number of reasons, including: 1) we were the first (2021) and continue to be the only (2022) Summer Institute held at a Historically Black College or University (HBCU), 2) we once again had the benefit of a deeply invested partner, Mathematica, and finally, 3) we continued our  topical focus on anti-Black racism and inequity.

Application materials were due 11:59pm EST on March 31st April 17th May 1st.

Because of the COVID-19 pandemic, all events took place online.

Join our email list for the most up to date information on SICSS-Howard/Mathematica, or follow us on Facebook and Twitter.",https://sicss.io/2022/howard-mathematica,https://sicss.io/locations
India,"July 11 to July 25, 2022","From July 11 to July 25, 2022, IIIT Hyderabad will sponsor the Summer Institute in Computational Social Science in India. The purpose of the Summer Institute is to bring together UG research students, graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and NGOs. Topics covered include text as data, website scraping, digital field experiments, machine learning,analysis of citizen centric data, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 40 participants will be invited, and participants are expected to attend in-person and participate for the full duration of the two-week program.

Application materials are due May 31.",https://sicss.io/2022/india,https://sicss.io/locations
JIAS/IPATC,"20 June to 8 July, 2022","From 20 June to 8 July, 2022, The Johannesburg Institute for Advanced Study
(JIAS) and The Institute for Pan-African Thought and Conversation
(IPATC) sponsored the Summer Institute in Computational Social Science, held at JIAS in a hybrid format. The purpose of the Summer Institute was to bring together postgraduate students and postdoctoral researchers interested in critical computational social science. The Summer Institute was for both social scientists (broadly conceived) and data scientists (broadly conceived).

The SICSS-JIAS/IPATC instructional programme involved lectures, group problem sets and participant-led research projects. Topics covered include text as data, website scraping, digital field experiments, machine learning and ethics. There also were outside speakers who conduct computational social science research in a variety of settings and contexts. Speakers touched on topics such as artificial intelligence in Africa, equity, ethics, decolonisation and algorithmic justice. There were ample opportunities for participants to discuss their ideas and research with the organisers, other participants and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute have been released open source.

Participation was restricted to registered masters and doctoral students, postdoctoral researchers and researchers working outside of academia. We welcomed applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. 15 participants have been invited, and participants were expected to fully attend and participate in the entire three-week programme.

Application materials were due 11:59pm SAST (GMT+2) on Thursday, 31 March, 2022

Monday, 4 April, 2022.

Follow us on twitter and
instagram.

The first two weeks took place online. The third week
combined remote and in-person participation. Limited transport and accommodation grants were
available for participants outside of Johannesburg.",https://sicss.io/2022/jias,https://sicss.io/locations
Jogja,"July 18 to July 29, 2022","From July 18 to July 29, 2022, Universitas Islam Indonesia will host the Summer Institute in Computational Social Science as a hybrid event. The purpose of the Summer Institute is to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

SICSS-Jogja 2022 has been generously supported by Universitas Islam Indonesia (Faculty of Industrial Technology, Department of Informatics, and Center of Data Science) and qiscus, a leading Omnichannel Customer Engagement Platform in Indonesia which operates as a B2B Software as a Service enterprise.

The instructional program will involve lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in a variety of settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. There will be ample opportunities for students to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to postgraduate students (both Master’s and Doctoral degrees), junior/untenured faculty members (without a PhD or within 3 years of their PhDs), postdoctoral researchers, and researchers working at NGOs or government agencies. We welcome applicants from all backgrounds and fields of study, especially applicants from groups currently under-represented in computational social science. About 20-30 participants will be invited, and participants are expected to fully attend and participate in the entire two-week program either in-person or online.

Application materials are due Thursday, March 31, 2022, 11:59 pm AoE (Anywhere on Earth).",https://sicss.io/2022/jogja,https://sicss.io/locations
Korea,"June 20 to July 1, 2022","Overview

From June 19 to June 29, 2022, the Korea Advanced Institute of Science and Technology (KAIST) and KDI School of Public Policy and Management will co-host a partner location for the Summer Institute in Computational Social Science. The event will be held at the KAIST (SICSS-Korea). The institute is the first SICSS partner location in South Korea.

SICSS-Korea has been generously supported by both KAIST (School of Humanities and Social Sciences, Center for Digital Humanities and Computational Social Sciences, and Graduate School of Culture Technology) and KDI School (Applied Data Science Lab). SICSS-Korea is co-organized by Lanu Kim, Wonjae Lee, and Jae Yeon Kim. The Summer Institute aims to bring together graduate students, postdoctoral researchers, and beginning faculty interested in computational social science. The Summer Institute is for both social scientists (broadly conceived) and data scientists (broadly conceived).

Our instructional program involves lectures, group problem sets, and participant-led research projects. There will also be outside speakers who conduct computational social science research in various settings, such as academia, industry, and government. Topics covered include text as data, website scraping, digital field experiments, machine learning, and ethics. Students will have ample opportunities to discuss their ideas and research with the organizers, other participants, and visiting speakers. Because we are committed to open and reproducible research, all materials created by faculty and students for the Summer Institute will be released open source.

Participation is restricted to graduate students (including master and PhD students), postdoctoral researchers, and untenured faculty within 7 years of their Ph.D. If you are an undergraduate student with substantial research experience, you are encouraged to apply. We also receive applications from incoming PhD students.  We welcome applicants from all backgrounds and fields of study, especially those currently under-represented groups in computational social science. About fifteen participants will be invited, and participants are expected to fully attend and participate in the entire two-week program held at KAIST.

Application materials are due March 31, 2022 (KST).

Online Information Session for Prospective Participants

Lanu Kim (KAIST) and Jae Yeon Kim (KDIS) will hold an online information session for prospective participants. You can join us via this zoom link on March 4, 2022 12:00 PM (KST). Also, please RVSP to participate this event via this Google form by March 1, 2022.",https://sicss.io/2022/korea,https://sicss.io/locations
